epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.422,1.87758,1.98804,1.39967,0.77824,0.55666,0.61072,0.33243,1.60174,0.954,1.17666,0.0677197,0.000998361,0.000998361
2,475.415,1.56183,1.02211,1.13826,0.77915,0.54839,0.65269,0.36094,1.53571,0.95322,1.15821,0.0352065,0.00181851,0.00181851
3,670.229,1.55156,0.97557,1.12338,0.79046,0.61672,0.67878,0.36312,1.55086,0.88807,1.18966,0.0025133,0.00245866,0.00245866
4,864.35,1.53049,0.95665,1.11624,0.78023,0.61117,0.67439,0.36385,1.57626,0.89758,1.21025,0.00219,0.00219,0.00219
5,1059.55,1.484,0.882,1.10299,0.76751,0.60064,0.65346,0.36006,1.55769,0.87281,1.16905,0.00192,0.00192,0.00192
6,1263.85,1.4523,0.82901,1.10102,0.74093,0.61971,0.67339,0.369,1.5572,0.8646,1.19114,0.00165,0.00165,0.00165
7,1454.46,1.4362,0.78973,1.08947,0.79476,0.62227,0.69504,0.39796,1.45626,0.83178,1.12943,0.00138,0.00138,0.00138
8,1643.31,1.38783,0.74436,1.05969,0.79062,0.63399,0.70142,0.38148,1.51905,0.83008,1.17087,0.00111,0.00111,0.00111
9,1835.78,1.36426,0.71381,1.04882,0.80001,0.6099,0.67862,0.37577,1.49583,0.82504,1.12744,0.00084,0.00084,0.00084
10,2028.23,1.31468,0.67138,1.03272,0.80788,0.63195,0.6974,0.386,1.51093,0.7915,1.15271,0.00057,0.00057,0.00057
