image_filename,main_category,sub_category,split,Broken Guard Rails,Damaged Signs,Illegal Parking,Vandalism / Graffiti
08vanwyck-articleLarge_jpg.rf.2d49fb13f5426621ca483c6fab2547de.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
08vanwyck-articleLarge_jpg.rf.8fb00053935c114c535e0dec981e6404.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
08vanwyck-articleLarge_jpg.rf.d5a4d51a23daca55696dc8c4f3919896.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
100_0601-630x472_jpg.rf.810bc27f70b7ca3dde2efcd3b5b84d1d.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
100_0601-630x472_jpg.rf.813a47bf18721981eec8f775309bc775.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
100_0601-630x472_jpg.rf.a1c3f5a931395f9ab001239d7acd2c91.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
101316-SoftStop-System-Glamour-Shot-e1528737160511_jpg.rf.6cedf1e5ea94f7eff908f73a10a99809.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
101316-SoftStop-System-Glamour-Shot-e1528737160511_jpg.rf.91d841194dd295fa25ad4eed4d871e7a.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
101316-SoftStop-System-Glamour-Shot-e1528737160511_jpg.rf.e2db0408a429adaed62609729c82c6fb.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
2000_jpg.rf.3676b4f4a8541ffe2912b3777a2bff0f.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
2000_jpg.rf.91d3033209c24a956f0aa8b583683152.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
2000_jpg.rf.acdd82dbd39ed1bba5f6267f41a66936.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
5e1d0a310cf5f-image_jpg.rf.6744b104db1d4b1974268499a69e79fd.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
5e1d0a310cf5f-image_jpg.rf.90bdea3471635fc0a5e235016f6f72d5.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
5e1d0a310cf5f-image_jpg.rf.db8341816fd75b8d8d5138ef131b1c01.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
66532817-beautiful-winter-landscape-with-highway-road-with-turn-and-snow-covered-trees-clean-mountain-aspahlt_jpg.rf.342ac79b12bbf48177313e18faf7589f.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
66532817-beautiful-winter-landscape-with-highway-road-with-turn-and-snow-covered-trees-clean-mountain-aspahlt_jpg.rf.b4f6e677b2750653ce4217d5a85ef77d.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
66532817-beautiful-winter-landscape-with-highway-road-with-turn-and-snow-covered-trees-clean-mountain-aspahlt_jpg.rf.f354ba6d85afc6d1feb2a7d9f5ee5ce8.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
6ba7ea2c-211b-4428-8e4e-93d836eee777-large16x9_guardrail_jpg.rf.11b579c818ab54fc27d2f63a0e2bea88.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
6ba7ea2c-211b-4428-8e4e-93d836eee777-large16x9_guardrail_jpg.rf.6fbadbaf0dba362c8677909d3c74f887.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
6ba7ea2c-211b-4428-8e4e-93d836eee777-large16x9_guardrail_jpg.rf.b995f9ae552670120e9bc21c3519b3e7.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
6ba7ea2c-211b-4428-8e4e-93d836eee777-large1x1_guardrail_jpg.rf.40da309e50a48f738373f5cafc8d0e21.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
6ba7ea2c-211b-4428-8e4e-93d836eee777-large1x1_guardrail_jpg.rf.67526c00c7f703bda5c7e269c26686db.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
6ba7ea2c-211b-4428-8e4e-93d836eee777-large1x1_guardrail_jpg.rf.dad55c11e087ab3ca977bd1ed13e57a9.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
89e631efc8fe4731c124babdca1059ca_jpg.rf.20ddfefe810aade87fc883e173319b34.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
89e631efc8fe4731c124babdca1059ca_jpg.rf.c2deeedeef4fb10958da006f9db46445.jpg,Public Safety,Broken Guard Rails,train,1,0,0,0
